network_id,iteration,num_agents,skill_type,source,target,weight
1,2,50,S++,S++_4,S++_27,10.3
1,2,50,S++,S++_4,S++_31,10.3
1,2,50,S++,S++_4,S++_46,10.3
1,2,50,S++,S++_4,S++_5,10.3
1,2,50,S++,S++_4,S++_8,10.3
1,2,50,S++,S++_4,S++_15,10.3
1,2,50,S++,S++_4,S++_45,10.3
1,2,50,S++,S++_4,S++_25,10
1,2,50,S++,S++_4,S++_34,10
1,2,50,S++,S++_4,S++_23,10
1,2,50,S++,S++_4,S++_32,10
1,2,50,S++,S++_4,S++_44,10
1,2,50,S++,S++_5,S++_15,10.3
1,2,50,S++,S++_5,S++_10,10.3
1,2,50,S++,S++_5,S++_14,10.3
1,2,50,S++,S++_5,S++_18,10.3
1,2,50,S++,S++_5,S++_24,10.3
1,2,50,S++,S++_5,S++_26,10.3
1,2,50,S++,S++_5,S++_31,10.3
1,2,50,S++,S++_5,S++_35,10.3
1,2,50,S++,S++_5,S++_12,10
1,2,50,S++,S++_5,S++_16,10
1,2,50,S++,S++_5,S++_20,10
1,2,50,S++,S++_5,S++_42,10
1,2,50,S++,S++_5,S++_8,10
1,2,50,S++,S++_5,S++_37,10
1,2,50,S++,S++_5,S++_39,10
1,2,50,S++,S++_6,S++_10,10.3
1,2,50,S++,S++_6,S++_21,10.3
1,2,50,S++,S++_6,S++_28,10.3
1,2,50,S++,S++_6,S++_48,10.3
1,2,50,S++,S++_6,S++_17,10.3
1,2,50,S++,S++_6,S++_25,10.3
1,2,50,S++,S++_6,S++_34,10.3
1,2,50,S++,S++_6,S++_49,10.3
1,2,50,S++,S++_6,S++_16,10
1,2,50,S++,S++_6,S++_41,10
1,2,50,S++,S++_6,S++_42,10
1,2,50,S++,S++_6,S++_43,10
1,2,50,S++,S++_6,S++_13,10
1,2,50,S++,S++_6,S++_35,10
1,2,50,S++,S++_7,S++_9,10.3
1,2,50,S++,S++_7,S++_11,10.3
1,2,50,S++,S++_7,S++_17,10.3
1,2,50,S++,S++_7,S++_22,10.3
1,2,50,S++,S++_7,S++_30,10.3
1,2,50,S++,S++_7,S++_45,10.3
1,2,50,S++,S++_7,S++_46,10
1,2,50,S++,S++_8,S++_17,10.3
1,2,50,S++,S++_8,S++_19,10.3
1,2,50,S++,S++_8,S++_23,10.3
1,2,50,S++,S++_8,S++_35,10.3
1,2,50,S++,S++_8,S++_47,10.3
1,2,50,S++,S++_8,S++_10,10.3
1,2,50,S++,S++_8,S++_24,10.3
1,2,50,S++,S++_8,S++_43,10
1,2,50,S++,S++_8,S++_50,10
1,2,50,S++,S++_8,S++_25,10
1,2,50,S++,S++_8,S++_37,10
1,2,50,S++,S++_8,S++_44,10
1,2,50,S++,S++_8,S++_45,10
1,2,50,S++,S++_9,S++_30,10.3
1,2,50,S++,S++_9,S++_36,10.3
1,2,50,S++,S++_9,S++_47,10.3
1,2,50,S++,S++_9,S++_27,10.3
1,2,50,S++,S++_9,S++_14,10
1,2,50,S++,S++_9,S++_37,10
1,2,50,S++,S++_9,S++_22,10
1,2,50,S++,S++_9,S++_33,10
1,2,50,S++,S++_9,S++_44,10
1,2,50,S++,S++_10,S++_22,10.3
1,2,50,S++,S++_10,S++_33,10.3
1,2,50,S++,S++_10,S++_44,10.3
1,2,50,S++,S++_10,S++_45,10.3
1,2,50,S++,S++_10,S++_47,10.3
1,2,50,S++,S++_10,S++_21,10.3
1,2,50,S++,S++_10,S++_48,10.3
1,2,50,S++,S++_10,S++_13,10
1,2,50,S++,S++_10,S++_20,10
1,2,50,S++,S++_10,S++_46,10
1,2,50,S++,S++_10,S++_15,10
1,2,50,S++,S++_10,S++_17,10
1,2,50,S++,S++_11,S++_13,10.3
1,2,50,S++,S++_11,S++_16,10.3
1,2,50,S++,S++_11,S++_34,10.3
1,2,50,S++,S++_11,S++_37,10.3
1,2,50,S++,S++_11,S++_49,10.3
1,2,50,S++,S++_11,S++_27,10
1,2,50,S++,S++_11,S++_36,10
1,2,50,S++,S++_11,S++_48,10
1,2,50,S++,S++_11,S++_40,10
1,2,50,S++,S++_11,S++_46,10
1,2,50,S++,S++_12,S++_23,10.3
1,2,50,S++,S++_12,S++_31,10.3
1,2,50,S++,S++_12,S++_18,10.3
1,2,50,S++,S++_12,S++_35,10.3
1,2,50,S++,S++_12,S++_42,10.3
1,2,50,S++,S++_12,S++_33,10
1,2,50,S++,S++_12,S++_43,10
1,2,50,S++,S++_12,S++_45,10
1,2,50,S++,S++_13,S++_16,10.3
1,2,50,S++,S++_13,S++_19,10.3
1,2,50,S++,S++_13,S++_28,10.3
1,2,50,S++,S++_13,S++_34,10.3
1,2,50,S++,S++_13,S++_37,10.3
1,2,50,S++,S++_13,S++_43,10.3
1,2,50,S++,S++_13,S++_40,10.3
1,2,50,S++,S++_13,S++_48,10.3
1,2,50,S++,S++_13,S++_25,10
1,2,50,S++,S++_13,S++_42,10
1,2,50,S++,S++_13,S++_46,10
1,2,50,S++,S++_14,S++_28,10.3
1,2,50,S++,S++_14,S++_43,10.3
1,2,50,S++,S++_14,S++_44,10.3
1,2,50,S++,S++_14,S++_42,10.3
1,2,50,S++,S++_14,S++_46,10.3
1,2,50,S++,S++_14,S++_26,10
1,2,50,S++,S++_15,S++_19,10.3
1,2,50,S++,S++_15,S++_41,10.3
1,2,50,S++,S++_15,S++_43,10.3
1,2,50,S++,S++_15,S++_50,10.3
1,2,50,S++,S++_15,S++_16,10.3
1,2,50,S++,S++_15,S++_24,10.3
1,2,50,S++,S++_15,S++_32,10.3
1,2,50,S++,S++_15,S++_36,10.3
1,2,50,S++,S++_15,S++_47,10.3
1,2,50,S++,S++_15,S++_29,10
1,2,50,S++,S++_15,S++_45,10
1,2,50,S++,S++_16,S++_41,10
1,2,50,S++,S++_16,S++_24,10.3
1,2,50,S++,S++_16,S++_28,10.3
1,2,50,S++,S++_16,S++_40,10.3
1,2,50,S++,S++_16,S++_42,10.3
1,2,50,S++,S++_16,S++_25,10.3
1,2,50,S++,S++_16,S++_43,10
1,2,50,S++,S++_16,S++_48,10
1,2,50,S++,S++_16,S++_34,10
1,2,50,S++,S++_17,S++_19,10.3
1,2,50,S++,S++_17,S++_45,10.3
1,2,50,S++,S++_17,S++_30,10
1,2,50,S++,S++_17,S++_46,10
1,2,50,S++,S++_17,S++_33,10
1,2,50,S++,S++_17,S++_38,10
1,2,50,S++,S++_18,S++_26,10.3
1,2,50,S++,S++_18,S++_28,10.3
1,2,50,S++,S++_18,S++_29,10.3
1,2,50,S++,S++_18,S++_39,10.3
1,2,50,S++,S++_18,S++_50,10.3
1,2,50,S++,S++_18,S++_42,10
1,2,50,S++,S++_19,S++_24,10.3
1,2,50,S++,S++_19,S++_44,10.3
1,2,50,S++,S++_19,S++_49,10.3
1,2,50,S++,S++_19,S++_34,10
1,2,50,S++,S++_19,S++_47,10
1,2,50,S++,S++_19,S++_48,10
1,2,50,S++,S++_20,S++_24,10.3
1,2,50,S++,S++_20,S++_44,10.3
1,2,50,S++,S++_20,S++_28,10.3
1,2,50,S++,S++_20,S++_33,10
1,2,50,S++,S++_20,S++_38,10
1,2,50,S++,S++_20,S++_23,10
1,2,50,S++,S++_20,S++_36,10
1,2,50,S++,S++_21,S++_27,10.3
1,2,50,S++,S++_21,S++_34,10.3
1,2,50,S++,S++_21,S++_31,10
1,2,50,S++,S++_21,S++_35,10
1,2,50,S++,S++_22,S++_24,10.3
1,2,50,S++,S++_22,S++_39,10.3
1,2,50,S++,S++_22,S++_49,10.3
1,2,50,S++,S++_22,S++_33,10
1,2,50,S++,S++_22,S++_35,10
1,2,50,S++,S++_22,S++_36,10
1,2,50,S++,S++_23,S++_45,10.3
1,2,50,S++,S++_23,S++_24,10
1,2,50,S++,S++_23,S++_28,10
1,2,50,S++,S++_23,S++_32,10
1,2,50,S++,S++_23,S++_43,10
1,2,50,S++,S++_23,S++_44,10
1,2,50,S++,S++_24,S++_28,10.3
1,2,50,S++,S++_24,S++_32,10.3
1,2,50,S++,S++_24,S++_35,10.3
1,2,50,S++,S++_24,S++_39,10
1,2,50,S++,S++_24,S++_40,10
1,2,50,S++,S++_24,S++_27,10
1,2,50,S++,S++_24,S++_47,10
1,2,50,S++,S++_25,S++_40,10.3
1,2,50,S++,S++_25,S++_31,10.3
1,2,50,S++,S++_25,S++_33,10.3
1,2,50,S++,S++_25,S++_48,10.3
1,2,50,S++,S++_25,S++_27,10
1,2,50,S++,S++_25,S++_47,10
1,2,50,S++,S++_25,S++_28,10
1,2,50,S++,S++_26,S++_42,10.3
1,2,50,S++,S++_26,S++_37,10.3
1,2,50,S++,S++_26,S++_39,10.3
1,2,50,S++,S++_27,S++_45,10.3
1,2,50,S++,S++_27,S++_34,10.3
1,2,50,S++,S++_27,S++_48,10.3
1,2,50,S++,S++_28,S++_44,10.3
1,2,50,S++,S++_28,S++_45,10.3
1,2,50,S++,S++_28,S++_43,10
1,2,50,S++,S++_28,S++_48,10
1,2,50,S++,S++_28,S++_35,10
1,2,50,S++,S++_28,S++_36,10
1,2,50,S++,S++_29,S++_32,10.3
1,2,50,S++,S++_29,S++_38,10.3
1,2,50,S++,S++_29,S++_46,10.3
1,2,50,S++,S++_29,S++_47,10
1,2,50,S++,S++_29,S++_39,10
1,2,50,S++,S++_29,S++_48,10
1,2,50,S++,S++_30,S++_36,10.3
1,2,50,S++,S++_30,S++_39,10.3
1,2,50,S++,S++_30,S++_45,10.3
1,2,50,S++,S++_30,S++_33,10
1,2,50,S++,S++_30,S++_44,10
1,2,50,S++,S++_30,S++_48,10
1,2,50,S++,S++_30,S++_49,10
1,2,50,S++,S++_31,S++_46,10.3
1,2,50,S++,S++_31,S++_47,10
1,2,50,S++,S++_32,S++_39,10.3
1,2,50,S++,S++_32,S++_43,9.7
1,2,50,S++,S++_32,S++_50,9.7
1,2,50,S++,S++_32,S++_41,9.7
1,2,50,S++,S++_32,S++_33,10
1,2,50,S++,S++_32,S++_42,10
1,2,50,S++,S++_33,S++_34,9.7
1,2,50,S++,S++_33,S++_37,10
1,2,50,S++,S++_33,S++_45,10
1,2,50,S++,S++_33,S++_50,10
1,2,50,S++,S++_33,S++_42,10
1,2,50,S++,S++_34,S++_36,9.7
1,2,50,S++,S++_34,S++_41,9.7
1,2,50,S++,S++_35,S++_38,9.7
1,2,50,S++,S++_35,S++_40,9.7
1,2,50,S++,S++_35,S++_43,9.7
1,2,50,S++,S++_35,S++_46,9.7
1,2,50,S++,S++_35,S++_47,9.7
1,2,50,S++,S++_36,S++_37,10
1,2,50,S++,S++_36,S++_50,10
1,2,50,S++,S++_37,S++_49,9.7
1,2,50,S++,S++_37,S++_41,9.7
1,2,50,S++,S++_38,S++_43,9.7
1,2,50,S++,S++_38,S++_46,9.7
1,2,50,S++,S++_38,S++_48,9.7
1,2,50,S++,S++_38,S++_42,10
1,2,50,S++,S++_39,S++_42,10
1,2,50,S++,S++_40,S++_43,9.7
1,2,50,S++,S++_40,S++_48,10
1,2,50,S++,S++_40,S++_49,10
1,2,50,S++,S++_41,S++_44,9.7
1,2,50,S++,S++_41,S++_49,9.7
1,2,50,S++,S++_41,S++_48,9.7
1,2,50,S++,S++_42,S++_49,9.7
1,2,50,S++,S++_42,S++_45,10
1,2,50,S++,S++_44,S++_45,9.7
1,2,50,S++,S++_44,S++_46,9.7
1,2,50,S++,S++_44,S++_50,9.7
1,2,50,S++,S++_44,S++_47,10
1,2,50,S++,S++_45,S++_50,9.7
1,2,50,S++,S++_47,S++_50,9.7
1,3,50,S++,S++_1,S++_12,10
1,3,50,S++,S++_1,S++_14,10
1,3,50,S++,S++_1,S++_18,10
1,3,50,S++,S++_1,S++_24,10
1,3,50,S++,S++_1,S++_26,10
1,3,50,S++,S++_1,S++_33,10
1,3,50,S++,S++_1,S++_6,10
1,3,50,S++,S++_1,S++_44,10
1,3,50,S++,S++_1,S++_45,10
1,3,50,S++,S++_1,S++_17,9.7
1,3,50,S++,S++_1,S++_27,9.7
1,3,50,S++,S++_1,S++_50,9.7
1,3,50,S++,S++_1,S++_20,9.7
1,3,50,S++,S++_1,S++_29,10
1,3,50,S++,S++_1,S++_30,10
1,3,50,S++,S++_1,S++_35,10
1,3,50,S++,S++_1,S++_16,10
1,3,50,S++,S++_2,S++_39,9.7
1,3,50,S++,S++_2,S++_11,10
1,3,50,S++,S++_2,S++_25,10
1,3,50,S++,S++_2,S++_33,10
1,3,50,S++,S++_2,S++_41,10
1,3,50,S++,S++_2,S++_6,10
1,3,50,S++,S++_2,S++_49,10
1,3,50,S++,S++_2,S++_40,9.7
1,3,50,S++,S++_2,S++_48,9.7
1,3,50,S++,S++_2,S++_3,9.7
1,3,50,S++,S++_2,S++_13,10
1,3,50,S++,S++_2,S++_21,10
1,3,50,S++,S++_2,S++_30,10
1,3,50,S++,S++_2,S++_36,10
1,3,50,S++,S++_2,S++_17,10
1,3,50,S++,S++_2,S++_37,10
1,3,50,S++,S++_2,S++_43,10
1,3,50,S++,S++_3,S++_11,10
1,3,50,S++,S++_3,S++_21,10
1,3,50,S++,S++_3,S++_22,10
1,3,50,S++,S++_3,S++_24,10
1,3,50,S++,S++_3,S++_17,10
1,3,50,S++,S++_3,S++_32,10
1,3,50,S++,S++_3,S++_33,10
1,3,50,S++,S++_3,S++_35,10
1,3,50,S++,S++_3,S++_40,10
1,3,50,S++,S++_3,S++_39,9.7
1,3,50,S++,S++_3,S++_4,9.7
1,3,50,S++,S++_3,S++_27,9.7
1,3,50,S++,S++_3,S++_28,9.7
1,3,50,S++,S++_3,S++_37,9.7
1,3,50,S++,S++_3,S++_44,9.7
1,3,50,S++,S++_3,S++_45,9.7
1,3,50,S++,S++_3,S++_48,9.7
1,3,50,S++,S++_3,S++_9,10
1,3,50,S++,S++_3,S++_13,10
1,3,50,S++,S++_3,S++_36,10
1,3,50,S++,S++_4,S++_7,10
1,3,50,S++,S++_4,S++_27,10
1,3,50,S++,S++_4,S++_31,10
1,3,50,S++,S++_4,S++_46,10
1,3,50,S++,S++_4,S++_5,10
1,3,50,S++,S++_4,S++_8,10
1,3,50,S++,S++_4,S++_15,10
1,3,50,S++,S++_4,S++_45,10
1,3,50,S++,S++_4,S++_25,9.7
1,3,50,S++,S++_4,S++_34,9.7
1,3,50,S++,S++_4,S++_23,9.7
1,3,50,S++,S++_4,S++_32,9.7
1,3,50,S++,S++_4,S++_44,9.7
1,3,50,S++,S++_4,S++_10,10
1,3,50,S++,S++_4,S++_20,10
1,3,50,S++,S++_4,S++_50,10
1,3,50,S++,S++_5,S++_15,10
1,3,50,S++,S++_5,S++_10,10
1,3,50,S++,S++_5,S++_14,10
1,3,50,S++,S++_5,S++_18,10
1,3,50,S++,S++_5,S++_24,10
1,3,50,S++,S++_5,S++_26,10
1,3,50,S++,S++_5,S++_31,10
1,3,50,S++,S++_5,S++_35,10
1,3,50,S++,S++_5,S++_12,9.7
1,3,50,S++,S++_5,S++_16,9.7
1,3,50,S++,S++_5,S++_20,9.7
1,3,50,S++,S++_5,S++_42,9.7
1,3,50,S++,S++_5,S++_8,9.7
1,3,50,S++,S++_5,S++_37,9.7
1,3,50,S++,S++_5,S++_39,9.7
1,3,50,S++,S++_5,S++_6,10
1,3,50,S++,S++_5,S++_29,10
1,3,50,S++,S++_5,S++_43,10
1,3,50,S++,S++_5,S++_45,10
1,3,50,S++,S++_6,S++_10,10
1,3,50,S++,S++_6,S++_21,10
1,3,50,S++,S++_6,S++_28,10
1,3,50,S++,S++_6,S++_48,10
1,3,50,S++,S++_6,S++_17,10
1,3,50,S++,S++_6,S++_25,10
1,3,50,S++,S++_6,S++_34,10
1,3,50,S++,S++_6,S++_49,10
1,3,50,S++,S++_6,S++_16,9.7
1,3,50,S++,S++_6,S++_41,9.7
1,3,50,S++,S++_6,S++_42,9.7
1,3,50,S++,S++_6,S++_43,9.7
1,3,50,S++,S++_6,S++_13,9.7
1,3,50,S++,S++_6,S++_35,9.7
1,3,50,S++,S++_6,S++_37,10
1,3,50,S++,S++_6,S++_22,10
1,3,50,S++,S++_6,S++_27,10
1,3,50,S++,S++_6,S++_32,10
1,3,50,S++,S++_6,S++_40,10
1,3,50,S++,S++_7,S++_9,10
1,3,50,S++,S++_7,S++_11,10
1,3,50,S++,S++_7,S++_17,10
1,3,50,S++,S++_7,S++_22,10
1,3,50,S++,S++_7,S++_30,10
1,3,50,S++,S++_7,S++_45,10
1,3,50,S++,S++_7,S++_46,9.7
1,3,50,S++,S++_7,S++_35,10
1,3,50,S++,S++_8,S++_17,10
1,3,50,S++,S++_8,S++_19,10
1,3,50,S++,S++_8,S++_23,10
1,3,50,S++,S++_8,S++_35,10
1,3,50,S++,S++_8,S++_47,10
1,3,50,S++,S++_8,S++_10,10
1,3,50,S++,S++_8,S++_24,10
1,3,50,S++,S++_8,S++_43,9.7
1,3,50,S++,S++_8,S++_50,9.7
1,3,50,S++,S++_8,S++_25,9.7
1,3,50,S++,S++_8,S++_37,9.7
1,3,50,S++,S++_8,S++_44,9.7
1,3,50,S++,S++_8,S++_45,9.7
1,3,50,S++,S++_8,S++_11,10
1,3,50,S++,S++_8,S++_18,10
1,3,50,S++,S++_8,S++_20,10
1,3,50,S++,S++_8,S++_12,10
1,3,50,S++,S++_8,S++_32,10
1,3,50,S++,S++_9,S++_30,10
1,3,50,S++,S++_9,S++_36,10
1,3,50,S++,S++_9,S++_47,10
1,3,50,S++,S++_9,S++_27,10
1,3,50,S++,S++_9,S++_14,9.7
1,3,50,S++,S++_9,S++_37,9.7
1,3,50,S++,S++_9,S++_22,9.7
1,3,50,S++,S++_9,S++_33,9.7
1,3,50,S++,S++_9,S++_44,9.7
1,3,50,S++,S++_9,S++_16,10
1,3,50,S++,S++_9,S++_43,10
1,3,50,S++,S++_9,S++_45,10
1,3,50,S++,S++_10,S++_22,10
1,3,50,S++,S++_10,S++_33,10
1,3,50,S++,S++_10,S++_44,10
1,3,50,S++,S++_10,S++_45,10
1,3,50,S++,S++_10,S++_47,10
1,3,50,S++,S++_10,S++_21,10
1,3,50,S++,S++_10,S++_48,10
1,3,50,S++,S++_10,S++_13,9.7
1,3,50,S++,S++_10,S++_20,9.7
1,3,50,S++,S++_10,S++_46,9.7
1,3,50,S++,S++_10,S++_15,9.7
1,3,50,S++,S++_10,S++_17,9.7
1,3,50,S++,S++_10,S++_14,10
1,3,50,S++,S++_10,S++_19,10
1,3,50,S++,S++_10,S++_27,10
1,3,50,S++,S++_10,S++_30,10
